Gene,1,2,3,4,5,6,7,8,9,10,11,12
IGFBP5,0.00130224955508154,3.05019912860182e-143,0.00417552317498609,0.000799376633962168,1.47129384565642e-89,0.0010089669362626,1.01164222898795e-65,0.00195835784582307,0.00606924694446666,9.5147817109212e-21,0.00137243372350422,3.87331771908533e-137
SERPINE2,0.00528009380181405,0.00457677519549103,3.66784302875201e-15,0.00948060813215102,0.00253092699508692,1.4457235000684e-05,0.00344575088381901,0.00135674195982824,0.00229571224261458,0.00029544357266135,0.00195402706151267,0.00188940583551807
ITM2C,0.0011105527726547,0.000515064977519827,0.00280256949228031,0.000473622515481552,0.000368704453221343,0.000664220512783408,0.000796650428082334,0.00400527861778974,0.00864647956400891,0.00758307026210512,0.00512221722646962,1.40649788541111e-12
COL6A3,0.00182598564042141,0.00294200350116164,0.00565172021874388,0.00876921611126896,0.00345232613456616,0.00184583471994957,0.000999448599361337,1.19305818440552e-90,1.28549396849349e-22,6.74617048549744e-157,0.00159714621697827,0.00545677362126859
COPS9,0.00414170297966544,0.00274186254072573,0.00243394998294973,0.00320768275424366,0.00408828010992697,0.00530939751323599,0.00289334893355794,3.56000663606195e-263,2.59782254905475e-58,0,0,2.22168532220996e-24
LMCD1,0.000603358810674845,8.85286401787038e-88,0.00171423506956311,6.42072337960681e-96,0.00218954976775885,2.57205463791597e-105,0.0013838546844914,0.000272933357878433,0.00340849646153747,0.00302172158078386,1.14685576042062e-36,0.00295400334653849
TKT,0.000328554387652014,0.00512406039227553,0.00350409246878785,0.00410780492932169,0.00241066725419276,0.0068794212014262,0.00233178982114564,0.00482777170579709,1.7488876851179e-14,0.000588007762173271,0.00275726145574925,0.00259445185058357
WNT5A,0.000934257099410243,3.84314982622107e-16,0.000324501805133806,0.00189650391094769,0.00588933848069382,2.00108163507288e-54,9.97983284478605e-29,1.90610612609949e-91,2.38689859370745e-28,1.62463016711315e-241,7.05316196328555e-260,1.17845947972169e-23
MTRNR2L12,0.000941395829369856,0.00286551192042893,0.00377822554342307,0.00298454276150706,0.00202308177059907,0.0051797400120608,0.00114051701471103,8.06041179248631e-77,0.000117031675456182,5.76926160920208e-44,2.16321350499871e-39,4.5004454408005e-09
COL8A1,0.00244922709523088,0.00293925157223664,0.00264349789341335,0.00161809553974343,0.00530607631803615,4.69707153618899e-60,0.00860527207951316,3.97956195171278e-68,0.00271144124129339,0.00163007371106505,0.000136550968971148,0.0106892258887391
ALCAM,0.00342850505920606,0.00249866058635244,2.92107870348091e-09,0.0043132694659497,0.00258684232148377,9.94350617524547e-15,0.00443241344477819,0.000257481909580223,0.00556196303098699,0.00249684098938133,0.000899063788732907,0.0053712707523729
CCDC80,0.00550967701456938,0.00269510817877873,0.00223614143377201,0.00204754466218637,0.00329305951913265,0.00099356902240401,0.00384286546459434,0.00262075914857604,0.000381604302519943,1.91032559342206e-07,2.76926183466014e-11,0.0030733201420102
ITGB5,0.00415476123145502,1.35719727580934e-06,0.00158632347726599,0.00552841276738554,0.00244437952450976,0.00116543187863511,0.00243575857021388,6.49543183805321e-15,0.000976871866408054,0.000230521945175379,4.53654863931e-37,0.00162772587387268
TM4SF1,0.00118725659734475,0.00226604501066322,0.000940691150857237,0.000922550365396521,1.32508411066091e-07,0.00177409824895267,0.00108946256965784,3.60686249741773e-05,0.00666850596940318,0.0036093023965765,0.00732830898419698,0.00370479888697229
PTX3,9.55905743400453e-19,0.0078461434070428,9.90673364442669e-11,1.05621672900285e-49,0.00514621042438961,0.00263276580257001,0.00720187737244345,2.50235072419035e-94,1.25154302155032e-44,5.36506089871689e-275,2.92277722847941e-130,2.6540410238099e-07
